,productGroup,asin,categories,categoryTree,rootCategory,nodepath,nodeID
0,Home,B00902X5II,"[3732781, 18715717011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063252, 'name': 'Bedding'}, {'catId': 1063274, 'name': 'Sheets & Pillowcases'}, {'catId': 3732781, 'name': 'Sheet & Pillowcase Sets'}]",1055398,,
1,Home,B001DNGSCM,"[3737601, 23772848011, 23705309011, 17923020011, 18505454011, 23774475011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 3206324011, 'name': 'Heating, Cooling & Air Quality'}, {'catId': 3737601, 'name': 'Household Fans'}]",1055398,"Home & Kitchen/Heating, Cooling & Air Quality/Household Fans",3737601.0
2,Kitchen,B001UK1BM0,"[289755, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 284507, 'name': 'Kitchen & Dining'}, {'catId': 289754, 'name': 'Kitchen Utensils & Gadgets'}, {'catId': 289755, 'name': 'Can Openers'}]",1055398,Home & Kitchen/Kitchen & Dining/Kitchen Utensils & Gadgets/Can Openers,289755.0
3,Home,B0047DVJWY,"[3735611, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 21557027011, 'name': 'Photo Albums, Frames & Accessories'}, {'catId': 1063286, 'name': 'Picture Frames'}, {'catId': 3735611, 'name': 'Wall & Tabletop Frames'}]",1055398,,
4,Kitchen,B007ME4WJ2,"[119011811011, 15850311, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337725011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_2901'}, {'catId': 77072584011, 'name': 'Food Service'}, {'catId': 119011811011, 'name': 'Quantity Discounts'}]",265523,,
5,Kitchen,B00008CM68,"[16907729011, 10755432011, 16349114011, 289816, 13900811, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337675011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_1101'}, {'catId': 16907729011, 'name': 'Business Pricing: Kitchen'}]",265523,,
6,Home,B000JG1KPY,"[695488011, 18505454011, 17938208011, 17938210011, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 3610841, 'name': 'Storage & Organization'}, {'catId': 3744341, 'name': 'Laundry Storage & Organization'}, {'catId': 695488011, 'name': 'Drying Racks'}]",1055398,,
7,Kitchen,B000UBB7U6,"[24016797011, 77182891011, 367327011, 119967313011]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337688011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_4901'}, {'catId': 23686064011, 'name': 'Breakroom'}, {'catId': 24005362011, 'name': 'Power & Accessories'}, {'catId': 24016797011, 'name': 'Flatware'}]",265523,,
8,Kitchen,B0009PXHE2,[289797],"[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 284507, 'name': 'Kitchen & Dining'}, {'catId': 289754, 'name': 'Kitchen Utensils & Gadgets'}, {'catId': 289790, 'name': 'Pasta & Pizza Tools'}, {'catId': 289797, 'name': 'Pizza Cutters'}]",1055398,,
9,Home,B00CQVM8VK,"[19201448011, 13900811, 13900821]","[{'catId': 1055398, 'name': 'Home & Kitchen'}, {'catId': 1063278, 'name': 'Home Décor Products'}, {'catId': 3735061, 'name': 'Home Décor Accents'}, {'catId': 3295676011, 'name': 'Decorative Accessories'}, {'catId': 19201448011, 'name': 'Decorative Signs & Plaques'}]",1055398,,
10,Kitchen,B001UE2I00,"[82785833011, 14309871, 289862, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337725011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_2901'}, {'catId': 77072584011, 'name': 'Food Service'}, {'catId': 77077425011, 'name': 'Cutlery, Dinnerware and Knives'}, {'catId': 82785833011, 'name': 'Specialty Knives'}]",265523,"Home & Kitchen/Kitchen & Dining/Food Service Equipment & Supplies/Cookware, Bakeware & Tools/Kitchen Knives/Specialty Knives",289862.0
11,Kitchen,B001UE2I00,"[82785833011, 14309871, 289862, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337725011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_2901'}, {'catId': 77072584011, 'name': 'Food Service'}, {'catId': 77077425011, 'name': 'Cutlery, Dinnerware and Knives'}, {'catId': 82785833011, 'name': 'Specialty Knives'}]",265523,Home & Kitchen/Kitchen & Dining/Kitchen Utensils & Gadgets/Kitchen Knives & Accessories/Specialty Knives,289862.0
12,Home,B0006TZMOE,"[16907729011, 16349114011, 3744201, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337675011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_1101'}, {'catId': 16907729011, 'name': 'Business Pricing: Kitchen'}]",265523,,
13,Kitchen,B00063RWZM,"[18505439011, 77182853011, 17938211011, 116073925011, 289818, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337712011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_6001'}, {'catId': 18505439011, 'name': 'Best Sellers in Kitchen'}]",265523,,
14,Kitchen,B0000DE824,"[82795060011, 16439871, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337725011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_2901'}, {'catId': 77072584011, 'name': 'Food Service'}, {'catId': 77077733011, 'name': 'Tools and Utensils'}, {'catId': 82795060011, 'name': 'Graters, Peelers and Slicers'}]",265523,,
15,Kitchen,B000YDGMNW,"[18327717011, 13840241, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337727011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_4201'}, {'catId': 18327717011, 'name': 'Shinhan Card Promotion'}]",265523,,
16,Kitchen,B00004OCNR,"[24065798011, 18505439011, 82795864011, 289774, 13900821]","[{'catId': 265523, 'name': 'Stores'}, {'catId': 120337644011, 'name': 'Arborist Merchandising Root'}, {'catId': 2740349011, 'name': 'Self Service'}, {'catId': 2740350011, 'name': 'Special Features Stores'}, {'catId': 120337645011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_0'}, {'catId': 120337688011, 'name': 'bdb4ab35-5f7e-422a-b6d6-a39c540e89e2_4901'}, {'catId': 23686064011, 'name': 'Breakroom'}, {'catId': 24005362011, 'name': 'Power & Accessories'}, {'catId': 24065798011, 'name': 'Cooking Utensils'}]",265523,,
