Node ID,Node Path,Query,Refinement Link,,,
1063498,Home & Kitchen,,See all available refinements,,,
1063236,Home & Kitchen/Bath,,See all available refinements,,,
3731671,Home & Kitchen/Bath/Bath Linen Sets,item_type_keyword:bath-linen-sets,See all available refinements,,,
1063242,Home & Kitchen/Bath/Bath Rugs,item_type_keyword:bath-rugs,See all available refinements,,,
1063238,Home & Kitchen/Bath/Bathroom Accessories,item_type_keyword:bathroom-accessories,See all available refinements,,,
3731911,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Accessory Sets,item_type_keyword:bathroom-accessory-sets,See all available refinements,,,
13749901,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Mirrors,item_type_keyword:bathroom-mirrors,See all available refinements,,,
3785121,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Mirrors/Makeup Mirrors,item_type_keyword:personal-makeup-mirrors,See all available refinements,,,
3785131,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Mirrors/Shower Mirrors,item_type_keyword:shower-mirrors,See all available refinements,,,
17738953011,Home & Kitchen/Bath/Bathroom Accessories/Bathroom Mirrors/Wall-Mounted Vanity Mirrors,item_type_keyword:wall-mounted-vanity-mirrors,See all available refinements,,,
3731931,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories,,See all available refinements,,,
85961011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Bathtub Appliques,item_type_keyword:nonslip-appliques,See all available refinements,,,
85963011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Bathtub Mats,item_type_keyword:bathmats,See all available refinements,,,
85966011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Bathtub Trays,item_type_keyword:bathtub-valets,See all available refinements,,,
344741011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Drain Stoppers,item_type_keyword:drain-stoppers,See all available refinements,,,
672238011,Home & Kitchen/Bath/Bathroom Accessories/Bathtub Accessories/Splash Guards,item_type_keyword:splash-guards,See all available refinements,,,
6810213011,Home & Kitchen/Bath/Bathroom Accessories/Fixed Showerheads,item_type_keyword:fixed-showerheads,See all available refinements,,,
344739011,Home & Kitchen/Bath/Bathroom Accessories/Hand Dryers,item_type_keyword:bathroom-hand-dryers,See all available refinements,,,
6810212011,Home & Kitchen/Bath/Bathroom Accessories/Handheld Showers,item_type_keyword:hand-held-showerheads,See all available refinements,,,
3731971,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers,,See all available refinements,,,
13749741,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Bathroom Trays,item_type_keyword:bathroom-trays,See all available refinements,,,
13749751,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Canisters,item_type_keyword:canisters,See all available refinements,,,
13749771,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Cup Holders,item_type_keyword:cup-holders,See all available refinements,,,
13749781,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Dispensers,item_type_keyword:dispensers,See all available refinements,,,
13749761,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Dispensers/Countertop Soap Dispensers,item_type_keyword:countertop-soap-dispensers,See all available refinements,,,
344744011,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Dispensers/Lotion Dispensers,item_type_keyword:lotion-dispensers,See all available refinements,,,
13749791,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Dispensers/Shower Dispensers,item_type_keyword:shower-dispensers,See all available refinements,,,
13749801,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Soap Dishes,item_type_keyword:soap-dishes,See all available refinements,,,
13749811,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Tissue Holders,item_type_keyword:tissue-holders,See all available refinements,,,
16350361,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Toilet Paper Holders,item_type_keyword:toilet-paper-holders,See all available refinements,,,
695476011,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Toilet Paper Storage Containers,item_type_keyword:toilet-paper-storage-containers,See all available refinements,,,
13749821,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Toothbrush Holders,item_type_keyword:toothbrush-holders,See all available refinements,,,
344745011,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Tumblers,item_type_keyword:bathroom-tumblers,See all available refinements,,,
13749831,Home & Kitchen/Bath/Bathroom Accessories/Holders & Dispensers/Vanity Trays,item_type_keyword:vanity-trays,See all available refinements,,,
13861693011,Home & Kitchen/Bath/Bathroom Accessories/Makeup Organizers,item_type_keyword:cosmetic-display-cases,See all available refinements,,,
3743901,Home & Kitchen/Bath/Bathroom Accessories/Medicine Cabinets,item_type_keyword:medicine-cabinets,See all available refinements,,,
16187581011,Home & Kitchen/Bath/Bathroom Accessories/Over the Toilet Storage,item_type_keyword:over-toilet-storage,See all available refinements,,,
3744271,Home & Kitchen/Bath/Bathroom Accessories/Robe & Towel Hooks,item_type_keyword:bath-towel-hooks,See all available refinements,,,
85968011,Home & Kitchen/Bath/Bathroom Accessories/Scales,item_type_keyword:bathroom-scales,See all available refinements,,,
344746011,Home & Kitchen/Bath/Bathroom Accessories/Scales/Digital,item_type_keyword:digital-bath-scales,See all available refinements,,,
344747011,Home & Kitchen/Bath/Bathroom Accessories/Scales/Mechanical,item_type_keyword:mechanical-bath-scales,See all available refinements,,,
3731941,Home & Kitchen/Bath/Bathroom Accessories/Shower Accessories,,See all available refinements,,,
85969011,Home & Kitchen/Bath/Bathroom Accessories/Shower Accessories/Shower Caddies,item_type_keyword:shower-caddies,See all available refinements,,,
1065910,Home & Kitchen/Bath/Bathroom Accessories/Shower Accessories/Shower Radios,item_type_keyword:shower-radios,See all available refinements,,,
19201454011,Home & Kitchen/Bath/Bathroom Accessories/Shower Accessories/Shower Squeegees,item_type_keyword:shower-squeegees,See all available refinements,,,
19201455011,Home & Kitchen/Bath/Bathroom Accessories/Shower Accessories/Shower Stall Mats,item_type_keyword:shower-stall-mats,See all available refinements,,,
1063246,"Home & Kitchen/Bath/Bathroom Accessories/Shower Curtains, Hooks & Liners",,See all available refinements,,,
23873694011,"Home & Kitchen/Bath/Bathroom Accessories/Shower Curtains, Hooks & Liners/Shower Curtain Hangers",,See all available refinements,,,
13749841,"Home & Kitchen/Bath/Bathroom Accessories/Shower Curtains, Hooks & Liners/Shower Curtain Hangers/Decorative Shower Curtain Hooks",item_type_keyword:shower-curtain-decorative-hooks,See all available refinements,,,
13749861,"Home & Kitchen/Bath/Bathroom Accessories/Shower Curtains, Hooks & Liners/Shower Curtain Hangers/Shower Curtain Rings",item_type_keyword:shower-curtain-rings,See all available refinements,,,
